sequence,feasible,objective,total_energy,total_dist,failure_reason,arrival_times
0-45-2,True,164.24898707349917,47830352.617876895,85696.22662967385,None,"{0: 2709.8530854055343, 45: 1452.574690978614, 2: 2152.9028833019825}"
0-45-3,False,0,0,76432.52719361555,Time_Window_Violation,
0-45-4,False,0,0,80321.16774161528,Time_Window_Violation,
0-45-5,False,0,0,74493.42572541945,Time_Window_Violation,
0-45-6,False,0,0,81622.32405339269,Time_Window_Violation,
0-45-7,False,0,0,75723.76315953671,Time_Window_Violation,
0-45-8,False,0,0,79304.42572916794,Time_Window_Violation,
0-45-9,False,0,0,83252.58712598195,Time_Window_Violation,
0-45-10,False,0,0,75469.2980800106,Time_Window_Violation,
0-45-11,False,0,0,81326.76898206139,Time_Window_Violation,
0-45-12,False,0,0,115666.35039025373,Time_Window_Violation,
0-45-13,False,0,0,98872.10290460238,Time_Window_Violation,
0-45-14,False,0,0,117296.79000966778,Time_Window_Violation,
0-45-15,False,0,0,109406.38766556565,Time_Window_Violation,
0-45-16,False,0,0,118573.6679539854,Time_Window_Violation,
0-45-17,False,0,0,102234.85547447139,Time_Window_Violation,
0-45-18,False,0,0,105150.18373685096,Time_Window_Violation,
0-45-19,False,0,0,113613.46069908391,Time_Window_Violation,
0-45-20,False,0,0,52360.6797749979,Time_Window_Violation,
0-45-21,True,95.34560886356857,47162759.60832283,54558.71880218347,None,"{0: 2770.925221713131, 45: 1484.7606085138389, 21: 2261.7853318126718}"
0-45-22,True,95.34560799884503,46770502.13913103,56616.926869968855,None,"{0: 2627.577569708832, 45: 1484.7606054878795, 22: 2009.3760289668326}"
0-45-23,True,83.06684797027327,46790292.387527674,60440.5521829668,None,"{0: 2545.623486509813, 45: 1484.7606018361655, 23: 1922.7649797102517}"
0-45-24,False,0,0,57976.2079030862,Time_Window_Violation,
0-45-25,False,0,0,60054.45407077642,Time_Window_Violation,
0-45-26,False,0,0,63667.16564380372,Time_Window_Violation,
0-45-27,False,0,0,62564.71530485198,Time_Window_Violation,
0-45-28,False,0,0,66042.23489316159,Time_Window_Violation,
0-45-29,False,0,0,64721.359549995796,Time_Window_Violation,
0-45-30,False,0,0,69902.03193875872,Time_Window_Violation,
0-45-31,False,0,0,76517.22756558305,Time_Window_Violation,
0-45-32,False,0,0,76344.13615167959,Time_Window_Violation,
0-45-33,False,0,0,80052.88095066746,Time_Window_Violation,
0-45-34,True,86.26013915412165,47420590.78702917,81376.00316778988,None,"{0: 2817.703663379262, 45: 1421.9162819781852, 34: 1858.425373269255}"
0-45-35,False,0,0,85934.64287228137,Time_Window_Violation,
0-45-36,False,0,0,86870.77830855179,Time_Window_Violation,
0-45-37,False,0,0,91386.58267841191,Time_Window_Violation,
0-45-38,False,0,0,95214.5126328583,Time_Window_Violation,
0-45-39,False,0,0,96212.98817898749,Time_Window_Violation,
0-45-40,False,0,0,47976.2079030862,Time_Window_Violation,
0-45-41,False,0,0,46427.38627440181,Time_Window_Violation,
0-45-42,False,0,0,45279.438966289854,Time_Window_Violation,
0-45-43,False,0,0,44744.57702709005,Time_Window_Violation,
0-45-44,False,0,0,45901.33900353591,Time_Window_Violation,
0-45-46,False,0,0,44951.9400569719,Time_Window_Violation,
